id,question,answer
sc_q1,ಸಕ್ಕರೆಕಬ್ಬು ಬೆಳೆಯಲು ಸೂಕ್ತವಾದ ಮಣ್ಣು ಯಾವುದು?,"ನೀರು ನಿಲ್ಲದಂತೆ ಹರಿದು ಹೋಗುವ ಸಾಮರ್ಥ್ಯ ಹೊಂದಿರುವ, ಜೈವಿಕಾಂಶ ಹೆಚ್ಚು ಇರುವ ಮಧ್ಯಮದಿಂದ ಆಳವಾದ ಕಪ್ಪು ಮಣ್ಣು ಸಕ್ಕರೆಕಬ್ಬು ಬೆಳೆಗೆ ಸೂಕ್ತವಾಗಿದೆ. ಉಪ್ಪು ಮತ್ತು ಕ್ಷಾರಾಂಶ ಕಡಿಮೆ ಇರಬೇಕು."
sc_q2,ಈ ದಾಖಲೆ ಪ್ರಕಾರ ಸಕ್ಕರೆಕಬ್ಬು ಬೆಳೆಯುವ ಪ್ರಮುಖ ಪ್ರದೇಶಗಳು ಯಾವುವು?,"ಉತ್ತರ ಕರ್ನಾಟಕದ ಬೆಳಗಾವಿ, ಬಾಗಲಕೋಟೆ ಮತ್ತು ವಿಜಯಪುರ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಸಕ್ಕರೆಕಬ್ಬು ಹೆಚ್ಚಾಗಿ ಬೆಳೆಯಲಾಗುತ್ತದೆ."
sc_q3,ದಾಖಲೆದಲ್ಲಿ ಉಲ್ಲೇಖಿಸಿರುವ ಸಕ್ಕರೆಕಬ್ಬಿನ ತಳಿಗಳು ಯಾವುವು?,"Co-671, Co-92005, Co-SNK-7632, Co-SNK-7680 ಮತ್ತು Co-SNK-7337 ತಳಿಗಳನ್ನು ದಾಖಲೆದಲ್ಲಿ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ."
sc_q4,ಸಕ್ಕರೆಕಬ್ಬು ನೆಡುವ ಸೂಕ್ತ ಕಾಲ ಯಾವುದು?,ತಳಿಯನ್ನು ಅವಲಂಬಿಸಿ ಜುಲೈ–ಆಗಸ್ಟ್ ಮತ್ತು ಅಕ್ಟೋಬರ್–ನವೆಂಬರ್ ತಿಂಗಳುಗಳು ಸಕ್ಕರೆಕಬ್ಬು ನೆಡುವಿಗೆ ಸೂಕ್ತವಾಗಿವೆ.
sc_q5,ಪ್ರತಿ ಎಕರೆಗೆ ಎಷ್ಟು ಬೀಜದ ಕಬ್ಬಿನ ತುಂಡುಗಳು ಬೇಕಾಗುತ್ತವೆ?,"ಪ್ರತಿ ಎಕರೆಗೆ ಸುಮಾರು 10,000 ರಿಂದ 14,000 ಎರಡು ಕಣ್ಣುಳ್ಳ ಕಬ್ಬಿನ ತುಂಡುಗಳು ಬೇಕಾಗುತ್ತವೆ."
sc_q6,ಪ್ರತಿ ಎಕರೆಗೆ ಬೇಕಾಗುವ ಬೀಜ ಕಬ್ಬಿನ ಪ್ರಮಾಣ ಎಷ್ಟು?,ತಳಿಯನ್ನು ಅವಲಂಬಿಸಿ ಪ್ರತಿ ಎಕರೆಗೆ 2.8 ರಿಂದ 4.4 ಟನ್ ಬೀಜ ಕಬ್ಬು ಅಗತ್ಯವಿರುತ್ತದೆ.
sc_q7,ಸಕ್ಕರೆಕಬ್ಬಿಗೆ ಶಿಫಾರಸು ಮಾಡಿರುವ ಸಸ್ಯಾವಶೇಷ ಗೊಬ್ಬರಗಳು ಯಾವುವು?,"ಹೆಪ್ಪುಗೊಬ್ಬರ, ಎರೆಹುಳ ಗೊಬ್ಬರ, ಸಂವರ್ಧಿತ ಮಳಿಗೊಬ್ಬರ, ಹಸಿರು ಗೊಬ್ಬರ ಮತ್ತು ನೀಂಹಿಂಡಿ ಸಕ್ಕರೆಕಬ್ಬಿಗೆ ಶಿಫಾರಸು ಮಾಡಲಾಗಿದೆ."
sc_q8,ಸಕ್ಕರೆಕಬ್ಬಿಗೆ ಶಿಫಾರಸು ಮಾಡಿರುವ ಜೀವಾಣು ಗೊಬ್ಬರಗಳು ಯಾವುವು?,ಅಜೋಸ್ಪಿರಿಲ್ಲಮ್ ಮತ್ತು ಫಾಸ್ಫೇಟ್ ಕರಗಿಸುವ ಬ್ಯಾಕ್ಟೀರಿಯಾಗಳನ್ನು ಪ್ರತಿ ಎಕರೆಗೆ ಬಳಸಲು ಶಿಫಾರಸು ಮಾಡಲಾಗಿದೆ.
sc_q9,ಸಕ್ಕರೆಕಬ್ಬಿನಲ್ಲಿ ನೀರಾವರಿ ನಿರ್ವಹಣೆ ಹೇಗೆ ಮಾಡಬೇಕು?,"ನೆಟ್ಟ ನಂತರ 8–10 ದಿನಗಳಿಗೊಮ್ಮೆ, ಮೊಳೆಯುವ ಹಂತದಲ್ಲಿ 10 ದಿನಗಳಿಗೊಮ್ಮೆ, ವೇಗದ ಬೆಳವಣಿಗೆಯ ಹಂತದಲ್ಲಿ 7 ದಿನಗಳಿಗೊಮ್ಮೆ ಮತ್ತು ಪಕ್ವ ಹಂತದಲ್ಲಿ 15 ದಿನಗಳಿಗೊಮ್ಮೆ ನೀರಾವರಿ ಮಾಡಬೇಕು."
sc_q10,ಸಕ್ಕರೆಕಬ್ಬಿನಲ್ಲಿ ಕೀಟ ನಿಯಂತ್ರಣಕ್ಕೆ ಯಾವ ವಿಧಾನಗಳನ್ನು ಬಳಸಬೇಕು?,"ಟ್ರೈಕೋಗ್ರಾಮಾ, ಮೆಟಾರೈಸಿಯಂ ಅನಿಸೋಪ್ಲಿಯೆ, ನೀಂಹಿಂಡಿ ಮತ್ತು ಸಸ್ಯಾಧಾರಿತ ಜೈವಿಕ ಕೀಟನಾಶಕಗಳನ್ನು ಬಳಸಬೇಕು."
